what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1312401723219
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1312401723220
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1312401723220
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1312401723223
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1312401723223
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1312401723224
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1312401723224
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1312401723225
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1312401723225
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1312401723225
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1312401723226
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1312401723226
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1312401723227
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1312401723228
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1312401723229
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1312401723229
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1312401723230
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1312401723230
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1312401723231
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1312401723232
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1312401723232
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1312401723233
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1312401723234
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1312401723234
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1312401723235
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1312401723237
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1312401723237
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1312401723238
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1312401723239
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1312401723239
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1312401723240
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1312401723241
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1312401723241
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1312401723242
os,sysinfo,,,"win32",1312401723245
arch,sysinfo,,,"x86",1312401723245
ws,sysinfo,,,"win32",1312401723245
locale,sysinfo,,,"nl_BE",1312401723245
processors,sysinfo,,,"4",1312401723245
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1312401723245
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1312401723245
java.specification.name,sysinfo,,,"Java Platform API Specification",1312401723245
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312401723245
java.specification.version,sysinfo,,,"1.6",1312401723245
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312401723245
java.version,sysinfo,,,"1.6.0_18",1312401723245
java.vm.info,sysinfo,,,"mixed mode",1312401723245
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1312401723245
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1312401723245
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312401723245
java.vm.specification.version,sysinfo,,,"1.0",1312401723245
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1312401723245
java.vm.version,sysinfo,,,"16.0-b13",1312401723245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312401729516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312401732799
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1312401732835
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312401751144
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1312401751236
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1312401751241
stopped,bundle,de.walware.statet.r.console.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.ui",1312401751351
stopped,bundle,de.walware.statet.r.launching.winrgui,0.10.0.b201106190930E37sw,"de.walware.statet.r.launching.winrgui",1312401751352
stopped,bundle,de.walware.statet.r.ui,0.10.0.b201106190930E37sw,"de.walware.statet.r.ui",1312401751352
stopped,bundle,de.walware.statet.nico.ui,0.10.0.b201106190930E37sw,"de.walware.statet.nico.ui",1312401751353
stopped,bundle,de.walware.statet.base.ui,0.10.0.b201106190930E37sw,"de.walware.statet.base.ui",1312401751353
stopped,bundle,de.walware.ecommons.ltk.ui,0.10.0.b201106190930E37sw,"de.walware.ecommons.ltk.ui",1312401751354
stopped,bundle,de.walware.statet.r.console.core,0.10.0.b201106190930E37sw,"de.walware.statet.r.console.core",1312401751354
